اسم الكتاب,الكاتب,القسم,عدد صفحات الكتاب,اللغه,دار النشر,رابط قراءه الكتاب,ملخص الكتاب
لغز القبر الملكي,محمود سالم,روايات بوليسية,52,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%82%d8%a8%d8%b1-%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a-pdf-3/?view=read,محمود سالم
لغز الكوخ المحترق,محمود سالم,روايات بوليسية,56,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%83%d9%88%d8%ae-%d8%a7%d9%84%d9%85%d8%ad%d8%aa%d8%b1%d9%82-pdf-2/?view=read,محمود سالم
لغز اللص الشبح,محمود سالم,روايات بوليسية,48,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%84%d8%b5-%d8%a7%d9%84%d8%b4%d8%a8%d8%ad-pdf-2/?view=read,محمود سالم
لغز المدينة العائمة,محمود سالم,روايات بوليسية,54,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d8%a6%d9%85%d8%a9-pdf-2/?view=read,محمود سالم
لغز المنزل رقم 98,محمود سالم,روايات بوليسية,48,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d9%86%d8%b2%d9%84-%d8%b1%d9%82%d9%85-98-pdf-2/?view=read,محمود سالم
لغز الموسيقار الصغير,محمود سالم,روايات بوليسية,54,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d9%88%d8%b3%d9%8a%d9%82%d8%a7%d8%b1-%d8%a7%d9%84%d8%b5%d8%ba%d9%8a%d8%b1-pdf-2/?view=read,محمود سالم
لغز الوثائق السرية,محمود سالم,روايات بوليسية,50,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%88%d8%ab%d8%a7%d8%a6%d9%82-%d8%a7%d9%84%d8%b3%d8%b1%d9%8a%d8%a9-pdf-2/?view=read,محمود سالم
التضحية عند الحيوان,هارون يحيى,الأدب العربي,160,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%aa%d8%b6%d8%ad%d9%8a%d8%a9-%d8%b9%d9%86%d8%af-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86-pdf/?view=read,كتاب التضحية عند الحيوان للكاتب هارون يحيى تعتبر صفحات التضحية والتعاون والرحمة والمحبة والتكافل من الأخلاق الحسنة التي يسعى كل مجتمع لنشرها بين أفراد وهذه الميزات تسبغ على الإنسان الذي يتحلى بها المحبة والاحترام في البيئة التي يعيش فيه ولعل كل إنسان يسعى إلى أن يحيا وسط مجتمع تنتشر فيه هذه الفصائل وفي هذا الكتاب وقع تناول هذه الخصال والفضائل بالدرس بيد أن الذي يتصف بالتضحية والإيثار هناك والذي يقوم بأعمال التعاون والتكافل ويفيض شفقة ومحبة ورحمة ليس كائناً بشرياً إن الذي يتناول بالبحث هنا وتجتمع فيه جميع هذه الفضائل هو الحيوان فثمة حيوانات تلقى نفسها إلى الهلاك والخطر في مواجهة أعدائها من أجل حماية حياة صغارها وثمة طيور تعرض نفسها للخطر أيضاً من أجل حماية صراخها وفي مناطق القطب المتجمد تمكث طيور البطريق لأشهر دون أكل ودون حركة حتى توفر الحرارة والدفء لفراقها ونجد كذلك حيوانات تتحمل مسؤولية رعاية من انقطعت به السبل من صغار الحيوانات وبقي يتيما بلا ما ونجد من أمثال هذه النماذج الكثير الكثير كتاب التضحية عند الحيوان
التضحية عند الحيوان,هارون يحيى,متنوعة,160,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%aa%d8%b6%d8%ad%d9%8a%d8%a9-%d8%b9%d9%86%d8%af-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86-pdf/?view=read,كتاب التضحية عند الحيوان للكاتب هارون يحيى تعتبر صفحات التضحية والتعاون والرحمة والمحبة والتكافل من الأخلاق الحسنة التي يسعى كل مجتمع لنشرها بين أفراد وهذه الميزات تسبغ على الإنسان الذي يتحلى بها المحبة والاحترام في البيئة التي يعيش فيه ولعل كل إنسان يسعى إلى أن يحيا وسط مجتمع تنتشر فيه هذه الفصائل وفي هذا الكتاب وقع تناول هذه الخصال والفضائل بالدرس بيد أن الذي يتصف بالتضحية والإيثار هناك والذي يقوم بأعمال التعاون والتكافل ويفيض شفقة ومحبة ورحمة ليس كائناً بشرياً إن الذي يتناول بالبحث هنا وتجتمع فيه جميع هذه الفضائل هو الحيوان فثمة حيوانات تلقى نفسها إلى الهلاك والخطر في مواجهة أعدائها من أجل حماية حياة صغارها وثمة طيور تعرض نفسها للخطر أيضاً من أجل حماية صراخها وفي مناطق القطب المتجمد تمكث طيور البطريق لأشهر دون أكل ودون حركة حتى توفر الحرارة والدفء لفراقها ونجد كذلك حيوانات تتحمل مسؤولية رعاية من انقطعت به السبل من صغار الحيوانات وبقي يتيما بلا ما ونجد من أمثال هذه النماذج الكثير الكثير كتاب التضحية عند الحيوان
معجزة الذرة,هارون يحيى,تطوير الذات,136,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d8%b9%d8%ac%d8%b2%d8%a9-%d8%a7%d9%84%d8%b0%d8%b1%d8%a9-pdf/?view=read,كتاب معجزة الذرة للكاتب هارون يحيى أصبح معروفاً اليوم أن هذا العالم الماضية الأجسام وتتألف جميعها من أجزاء غاية في الصغر تسمى ذرات وكل ذرة من هذه الذرات تؤلف نظاماً دقيقاً عجيباً وقف العلماء مذهولين أمام فلهذه الذرات نظام يدير حركة المرور بينما ويسهل عملية الاتصال بينما وقد تبدو الإجابة للوهلة سهلة ولكن ماذا لو علم الإنسان أن كل ذرة من هذه الذرات المفترضة تتألف من جسيمات أخرى أيضا فكيف تتجمع هذه الجسيمات معاً لتكون الذرة من الذي يتحكم بهذه الجسيمات ومن ثم بهذه الذرات كتاب معجزة الذرة
